Mods count: 199
 
                                   jar name                                    |    notes     |                mod id                |                 mod name                  |         mod version          |                                                                                                                                                                                                                                        mixin configs                                                                                                                                                                                                                                         |              modrinth hash               | curseforge hash
BadMobs-1.20.1-19.0.4.jar                                                      |              | badmobs                              | BadMobs                                   | 19.0.4                       |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | 100f29f6c425688bcbd77d1a3b99b12e18f019cd | 3818215639     
BadOptimizations-2.4.1-1.20.1.jar                                              |              | badoptimizations                     | BadOptimizations                          | 2.4.1                        | forge-badoptimizations.mixins.json, fabric-badoptimizations.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                      | 304007dcb0fb15ed1a1bc3771736470dafc5be0f | 3405088325     
balm-forge-1.20.1-7.3.38-all.jar                                               |              | balm                                 | Balm                                      | 7.3.38                       | balm.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | 515905f87268f1eb5af2a9878a84914517efe552 | 3717034118     
    /META-INF/jarjar/kuma-api-forge-20.1.12+1.20.1.jar                         |              | kuma_api                             | KumaAPI                                   | 20.1.12                      | kuma_api.forge.mixins.json, kuma_api.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                             |                                          |                
bbv-2.03-forge-1.20.1.jar                                                      | MCreator mod | bbv                                  | bbv2                                      | 2.03                         |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | 35d063524d6fbc9c440ad1a2052a5544d2058d57 | 3297994121     
BetterThirdPerson-Forge-1.20-1.9.0.jar                                         |              | betterthirdperson                    | Better Third Person                       | 1.9.0                        | betterthirdperson.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                | 0b0a3ff3b244fa191b3f9580547071dee46f7276 | 3277503590     
bigger_vanilla_trees-forge-1.20-1.0.jar                                        |              | bigger_vanilla_trees                 | bigger_vanilla_trees-forge                | 1.0                          |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | ecdf4dc22d7fc15944680432692931c82988c582 | 705013127      
BiomeParticleWeather-v4.1.0-1.20.1-Forge.jar                                   |              | impactfulweather                     | Biome Particle Weather                    | 4.1.0                        | impactfulweather.common.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                          | 52a1bba94f9bf32ebcdf244da7f8676b4dc0bc2b | 3553660243     
biomereplacer-2.1-hippo-forge.jar                                              |              | biome_replacer                       | Biome Replacer                            | 2.1-hippo                    | biome_replacer.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | 382cb16421baa0a4f1e02bb44e64d1a0f4d40e0e | 1843209547     
biomespy-1.3.3-all.jar                                                         |              | biomespy                             | BiomeSpy                                  | 1.3.3                        | biomespy.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                         | 7cec406c736997eea5c7be0e88f625d64313e362 | 1705626942     
blessfulled-0.6.jar                                                            |              | blessfulled                          | Blessfulled                               | 0.6                          | blessfulled.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | a8a3ad55d993eea95ba4b4edbe0a7dafce897b39 | 3303635114     
blueprint-1.20.1-7.1.4.jar                                                     |              | blueprint                            | Blueprint                                 | 7.1.3                        | blueprint.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | 10ee193ad755b03eceb0791a6f5257755feebcfe | 3867555674     
Bookshelf-Forge-1.20.1-20.2.15.jar                                             |              | bookshelf                            | Bookshelf                                 | 20.2.15                      | bookshelf.forge.mixins.json, bookshelf.common.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                    | 9df4908f606c6dc62a358b3e04e3fdedba59a12c | 4263061721     
chat_heads-0.15.2-forge-1.20.jar                                               |              | chat_heads                           | Chat Heads                                | 0.15.2                       | chat_heads.forge.mixins.json, chat_heads.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                         | fe49c0f42f21f4c0ea71c3cda7757914cb875ae7 | 2721917406     
Chunky-1.3.146.jar                                                             |              | chunky                               | Chunky                                    | 1.3.146                      |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | 0b782d12b4ac3b03a94c28f32e9b2d5587d1dd50 | 4160167965     
citresewn-1.20.1-5.jar                                                         |              | citresewn                            | CIT Resewn                                | 1.20.1-5                     | citresewn.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | 496393d1fc170bafccd6016cd5d93ab52b4a101c | 3126551083     
cleanswing-1.20-1.8.jar                                                        |              | cleanswing                           | Clean Swing Through Grass                 | 1.8                          |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | c128e24c47ab4a389b3868ff6913ee0631f254e8 | 2191402716     
clientcrafting-1.20.1-2.1.jar                                                  |              | clientcrafting                       | clientcrafting mod                        | 1.20.1-2.1                   | clientcrafting.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | 8305d002730b5a68364a3daa41d5a33bc7adb02d | 2969950490     
ClimateRivers-v20.1.0-1.20.1-Forge.jar                                         |              | climaterivers                        | Climate Rivers                            | 20.1.0                       | climaterivers.forge.mixins.json, climaterivers.common.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                            | 2e7a9b02a1dfdc4279330ae5c4ff8c4c269bd27d | 1186715260     
cloth-config-11.1.136-forge.jar                                                |              | cloth_config                         | Cloth Config v10 API                      | 11.1.136                     |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | c65d07748acc57ceb45d53b3964368b84f34d54f | 635589968      
Clothing_Of_The_Lowlands-1.0.8-forge-1.20.1.jar                                | MCreator mod | lowlands_clothing                    | Lowlands Clothing                         | 1.0.0                        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | 53be09625256bd7cb7ac5920eeb02a41b88a4dfe | 2292008869     
Clumps-forge-1.20.1-12.0.0.4.jar                                               |              | clumps                               | Clumps                                    | 12.0.0.4                     | clumps.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | 97cc669f68dbe812cb77cc3631339334fc28b877 | 1243520454     
collective-1.20.1-8.31.jar                                                     |              | collective                           | Collective                                | 8.31                         | collective_fabric.crop.mixins.json, collective_fabric.mixins.json, collective_forge.mixins.json                                                                                                                                                                                                                                                                                                                                                                                              | 3b7bc2f52aac17dac401eb9e464008cc07e3a50f | 210491852      
configured-forge-1.20.1-2.2.3.jar                                              |              | configured                           | Configured                                | 2.2.3                        | configured.common.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                | 065c2d287a52f52fc8d33d780192325ee6f4b6ae | 3251861014     
connectivity-1.20.1-7.6.jar                                                    |              | connectivity                         | Connectivity Mod                          | 1.20.1-7.6                   | connectivity.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                     | ae69a0712c73411a2d804eec7abce271529e273d | 2626029621     
Controlling-forge-1.20.1-12.0.2.jar                                            |              | controlling                          | Controlling                               | 12.0.2                       | controlling.mixins.json, controlling.forge.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                       | f6d3cdd3ec68c5590cf5b2e89c38dbf031824bfd | 2144346557     
Corgilib-Forge-1.20.1-4.0.3.4.jar                                              |              | corgilib                             | CorgiLib                                  | 4.0.3.4                      | corgilib-common.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                  | 4b08e5f8f2580842eacd5388458a0b52411a9fb2 | 3208777550     
corpse-forge-1.20.1-1.0.23.jar                                                 |              | corpse                               | Corpse                                    | 1.20.1-1.0.23                |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | 843b16ca88bc5c390bb22a2a84437e6bffdd43dd | 4282386808     
cosycritters-0.3.3+1.20.1-forge.jar                                            |              | cosycritters                         | Cosy Critters & Creepy Crawlies           | 0.3.3                        | cosycritters.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                     | 26db309a19862fd1923288392973f3a893afe1b3 | 2064459127     
CrashAssistant-forge-1.19-1.20.1-1.11.10.jar                                   |              | crash_assistant                      | Crash Assistant                           | 1.11.10                      |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | b70324f326cffc2c01e4eee9bf48f808f92bda10 | 915431175      
    /META-INF/jarjar/app.jar                                                   |              |                                      |                                           |                              |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |                                          |                
    /META-INF/jarjar/crash_assistant-forge.jar                                 |              | crash_assistant                      | Crash Assistant                           | 1.11.10                      | crash_assistant.mixins.json, crash_assistant-forge.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                               |                                          |                
CreativeCore_FORGE_v2.12.39_mc1.20.1.jar                                       |              | creativecore                         | CreativeCore                              | 2.12.39                      | creativecore.mixins.json, creativecore.mixins.refmap.json, creativecore.forge.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                    | aef9a8ebdf0be50b6bd8da8ab4153f5085f71a80 | 3260091100     
creeperoverhaul-3.0.2-forge.jar                                                |              | creeperoverhaul                      | Creeper Overhaul                          | 3.0.2                        | creeperoverhaul-common.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                           | 01e3275d3eb586c953ac786b1afee6e473eef947 | 176422656      
    /META-INF/jars/resourcefullib-forge-1.20.1-2.1.20.jar                      |              | resourcefullib                       | Resourceful Lib                           | 2.1.20                       |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |                                          |                
        /META-INF/jars/yabn-1.0.3.jar                                          |              | com_teamresourceful_yabn             | yabn                                      | 1.0.3                        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |                                          |                
        /META-INF/jars/bytecodecs-1.0.2.jar                                    |              | com_teamresourceful_bytecodecs       | bytecodecs                                | 1.0.2                        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |                                          |                
cultofazazelforge-1.1.4.9a.jar                                                 |              | netherman                            | Cult of Azazel                            | 1.1.4.9a                     |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | a2dd786a44ef231286d51b94a02b4766a4b77846 | 888807499      
cupboard-1.20.1-3.7.jar                                                        |              | cupboard                             | Cupboard utilities                        | 1.20.1-3.7                   | cupboard.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                         | 18be26e340ca77a05ee925fdb51400138b8c6539 | 2075014231     
dawnoftimebuilder-forge-1.20.1-1.5.51.jar                                      |              | dawnoftimebuilder                    | Dawn Of Time                              | 1.5.51                       | dawnoftimebuilder.forge.mixins.json, dawnoftimebuilder.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                           | 0e4a2e181653a02e5ab71d7e6a673e8e2e4e5dbe | 2349378493     
defaultoptions-forge-1.20.1-18.0.5.jar                                         |              | defaultoptions                       | Default Options                           | 18.0.5                       | defaultoptions.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | dddab6a5ff092b4535e9fdfb01e1e011afb90e57 | 4092597210     
Disenchanting-forge-1.20.1-2.2.4.jar                                           |              | disenchanting                        | Disenchanting                             | 2.2.3                        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | cacd9bb861428421687d1061e383368f2e11a105 | 239143443      
doubledoors-1.20.1-7.2.jar                                                     |              | doubledoors                          | Double Doors                              | 7.2                          | doubledoors_forge.mixins.json, doubledoors_fabric.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                | e97abe73c78be318584623a5e5b6e311e545da31 | 2972800135     
dummmmmmy-1.20-2.0.12-forge.jar                                                |              | dummmmmmy                            | MmmMmmMmmMmm                              | 1.20-2.0.11                  | dummmmmmy-common.mixins.json, dummmmmmy.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                          | 3b6da54436955ea2ca6e8891ef69d0f6621ab878 | 2343751397     
dynamic-fps-3.11.4+minecraft-1.20.0-forge.jar                                  |              | dynamic_fps                          | Dynamic FPS                               | 3.11.4                       | dynamic_fps-common.mixins.json, dynamic_fps.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                      | 43b3e0766a9e7a30651cc01756476657b865b7a2 | 3918164268     
    /META-INF/jars/battery-2.0.0.jar                                           |              |                                      |                                           |                              |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |                                          |                
